Press_Altitude(m),Pressure(hPa),BME_Temp(C),Humidity(%),Gas(KOhms),TMP117_Temp(C),Battery_Voltage,TimeSinceStart
1356.32,861.06,7.05,44.83,60.21,7.2422,0.37,1311021
1367.06,859.96,7.07,45.02,60.47,7.2656,0.37,1316022
1377.06,858.88,7.1,45.17,60.25,7.2891,0.37,1321023
1386.49,857.87,7.13,45.16,60.25,7.3125,0.37,1326030
1395.64,856.89,7.16,44.88,60.34,7.3438,0.37,1331025
1404.8,855.93,7.19,44.81,60.42,7.3672,0.37,1336027
1414.93,854.92,7.22,44.84,60.12,7.3906,0.37,1341032
1427.46,853.71,7.25,44.75,60.21,7.4063,0.37,1346029
1441.73,852.3,7.27,44.72,60.21,7.4297,0.37,1351030
1457.36,850.73,7.3,45.11,60.16,7.4609,0.37,1356038
1474.08,849.04,7.33,44.68,60.21,7.4766,0.37,1361033
1491.59,847.25,7.36,44.66,60.03,7.5078,0.37,1366034
1510.1,845.38,7.39,45.08,60.16,7.5313,0.37,1371035
1527.87,843.51,7.42,45.06,60.21,7.5547,0.37,1376036
1545.28,841.69,7.45,45.01,59.99,7.5781,0.37,1381038
1561.46,839.96,7.48,44.92,59.91,7.6016,0.37,1386045
1577.19,838.33,7.51,44.71,59.95,7.6328,0.37,1391044
1594.78,836.59,7.54,44.45,60.03,7.6563,0.37,1396041
1613.87,834.69,7.57,44.78,59.86,7.6797,0.36,1401042
1632.7,832.76,7.6,44.75,60.08,7.7109,0.37,1406044
1650.4,830.88,7.63,44.58,60.29,7.7266,0.37,1411045
1669.1,829.03,7.66,44.34,59.69,7.75,0.37,1416052
1688.33,827.08,7.69,44.3,60.03,7.7656,0.37,1421047
1706.32,825.2,7.72,44.75,60.12,7.7969,0.36,1426049
1721.39,823.53,7.74,44.33,60.08,7.8203,0.36,1431050
1734.8,822.1,7.77,44.2,59.65,7.8281,0.36,1436057
1747.34,820.79,7.79,44.17,60.03,7.8438,0.36,1441052
1759.89,819.52,7.82,44.15,59.99,7.875,0.36,1446060
1772.17,818.27,7.84,44.62,59.82,7.8984,0.36,1451055
1783.96,817.06,7.87,44.13,59.74,7.9219,0.35,1456056
1795.67,815.88,7.9,44.4,60.03,7.9375,0.36,1461057
1807.79,814.67,7.92,44.29,59.78,7.9609,0.36,1466058
1822.7,813.3,7.95,44.22,59.86,7.9688,0.36,1471059
1838.94,811.73,7.97,44.07,59.69,7.9922,0.36,1476067
1854.21,810.14,7.99,44.47,59.95,8.0156,0.36,1481066
1868.3,808.68,8.02,44.07,59.65,8.0391,0.36,1486063
1880.91,807.35,8.04,44.51,59.99,8.0469,0.36,1491064
1893.13,806.12,8.06,44.34,59.61,8.0625,0.35,1496066
1905.17,804.91,8.08,43.93,59.57,8.0859,0.35,1501067
1917.72,803.68,8.11,43.92,59.86,8.1094,0.35,1506074
1930.99,802.39,8.13,44.15,59.57,8.1172,0.35,1511069
1944.08,801.09,8.15,44.42,59.69,8.1406,0.35,1516070
1956.28,799.83,8.17,43.89,59.69,8.1641,0.35,1521072
1970.11,798.54,8.19,44.1,59.57,8.1797,0.35,1526073
